node_set,year,age_bin,n_circumcisions
1,2010.0,[1:15),211.0848024
1,2010.0,[15:50),1292.310185
1,2011.0,[1:15),294.2361103
1,2011.0,[15:50),1000.057649
1,2012.0,[0:1),200.8985828
1,2012.0,[1:15),4498.78751
1,2012.0,[15:50),11210.51765
1,2012.0,[50:65),133.6678417
1,2013.0,[0:1),1079.24099
1,2013.0,[1:15),9533.979274
1,2013.0,[15:50),16314.57767
1,2013.0,[50:65),221.4271639
1,2014.0,[0:1),215.6473025
1,2014.0,[1:15),10734.92538
1,2014.0,[15:50),18020.29797
1,2014.0,[50:65),433.5301958
1,2015.0,[0:1),0.0
1,2015.0,[1:15),8064.777513
1,2015.0,[15:50),25054.39959
1,2015.0,[50:65),179.0207223
2,2009.0,[1:15),0.0
2,2009.0,[15:50),538.3500193
2,2010.0,[1:15),813.1816759
2,2010.0,[15:50),3192.249911
2,2011.0,[1:15),788.2441919
2,2011.0,[15:50),2974.160658
2,2012.0,[0:1),585.3523172
2,2012.0,[1:15),22906.55582
2,2012.0,[15:50),27378.4308
2,2012.0,[50:65),147.1434485
2,2013.0,[0:1),734.2040535
2,2013.0,[1:15),37500.71032
2,2013.0,[15:50),68967.55478
2,2013.0,[50:65),194.4360077
2,2014.0,[0:1),1036.277457
2,2014.0,[1:15),34458.34558
2,2014.0,[15:50),56370.22041
2,2014.0,[50:65),324.9682632
2,2015.0,[0:1),0.0
2,2015.0,[1:15),21166.24886
2,2015.0,[15:50),24809.06529
2,2015.0,[50:65),159.2349525
3,2009.0,[1:15),165.9622642
3,2009.0,[15:50),283.9622642
3,2010.0,[1:15),634.8834598
3,2010.0,[15:50),1249.522047
3,2011.0,[1:15),224.6563818
3,2011.0,[15:50),531.3877543
3,2012.0,[0:1),0.0
3,2012.0,[1:15),1494.153473
3,2012.0,[15:50),6249.27964
3,2012.0,[50:65),0.0
3,2013.0,[0:1),183.8569031
3,2013.0,[1:15),3659.190492
3,2013.0,[15:50),9783.72803
3,2013.0,[50:65),148.901548
3,2014.0,[0:1),604.6920564
3,2014.0,[1:15),13391.10546
3,2014.0,[15:50),25868.40989
3,2014.0,[50:65),180.9517776
3,2015.0,[0:1),0.0
3,2015.0,[1:15),9029.79171
3,2015.0,[15:50),18086.49209
3,2015.0,[50:65),159.9277018
4,2010.0,[1:15),550.4982736
4,2010.0,[15:50),1448.21374
4,2011.0,[1:15),366.6204174
4,2011.0,[15:50),543.2569596
4,2012.0,[0:1),556.0597673
4,2012.0,[1:15),3766.98344
4,2012.0,[15:50),5020.857947
4,2012.0,[50:65),0.0
4,2013.0,[0:1),0.0
4,2013.0,[1:15),6893.582954
4,2013.0,[15:50),10134.4401
4,2013.0,[50:65),0.0
4,2014.0,[0:1),953.4622239
4,2014.0,[1:15),12267.53231
4,2014.0,[15:50),16568.9204
4,2014.0,[50:65),241.6484234
4,2015.0,[0:1),0.0
4,2015.0,[1:15),11632.98355
4,2015.0,[15:50),14928.46832
4,2015.0,[50:65),178.2428044
5,2010.0,[1:15),275.7660616
5,2010.0,[15:50),773.1394793
5,2011.0,[1:15),439.7406458
5,2011.0,[15:50),1356.936902
5,2012.0,[0:1),129.7103689
5,2012.0,[1:15),8314.236657
5,2012.0,[15:50),18471.03037
5,2012.0,[50:65),0.0
5,2013.0,[0:1),142.4194661
5,2013.0,[1:15),12899.07877
5,2013.0,[15:50),21247.23411
5,2013.0,[50:65),160.2532274
5,2014.0,[0:1),0.0
5,2014.0,[1:15),8353.237082
5,2014.0,[15:50),12870.07137
5,2014.0,[50:65),216.2270771
5,2015.0,[0:1),0.0
5,2015.0,[1:15),8620.898424
5,2015.0,[15:50),13422.53791
5,2015.0,[50:65),139.7547809
6,2010.0,[1:15),0.0
6,2010.0,[15:50),257.9622642
6,2011.0,[1:15),0.0
6,2011.0,[15:50),157.9622642
6,2012.0,[0:1),130.609304
6,2012.0,[1:15),417.3763254
6,2012.0,[15:50),2524.384431
6,2012.0,[50:65),0.0
6,2013.0,[0:1),367.9721002
6,2013.0,[1:15),209.9622642
6,2013.0,[15:50),1326.962264
6,2013.0,[50:65),149.9950348
6,2014.0,[0:1),0.0
6,2014.0,[1:15),1931.622314
6,2014.0,[15:50),4542.599981
6,2014.0,[50:65),126.1680216
6,2015.0,[0:1),0.0
6,2015.0,[1:15),2455.962264
6,2015.0,[15:50),3660.962264
6,2015.0,[50:65),0.0
7,2009.0,[1:15),0.0
7,2009.0,[15:50),201.5077187
7,2010.0,[1:15),1299.613627
7,2010.0,[15:50),1280.94983
7,2011.0,[1:15),1277.161628
7,2011.0,[15:50),1115.198743
7,2012.0,[0:1),1101.018578
7,2012.0,[1:15),10913.48016
7,2012.0,[15:50),5899.036307
7,2012.0,[50:65),0.0
7,2013.0,[0:1),1592.131261
7,2013.0,[1:15),11442.75182
7,2013.0,[15:50),5019.52398
7,2013.0,[50:65),150.3100414
7,2014.0,[0:1),1079.144822
7,2014.0,[1:15),17498.12119
7,2014.0,[15:50),4532.103533
7,2014.0,[50:65),0.0
7,2015.0,[0:1),0.0
7,2015.0,[1:15),14441.29543
7,2015.0,[15:50),5691.944755
7,2015.0,[50:65),0.0
8,2010.0,[1:15),271.87277
8,2010.0,[15:50),1097.145144
8,2011.0,[1:15),0.0
8,2011.0,[15:50),486.5876511
8,2012.0,[0:1),447.8262355
8,2012.0,[1:15),2530.601031
8,2012.0,[15:50),7696.76555
8,2012.0,[50:65),0.0
8,2013.0,[0:1),295.2823885
8,2013.0,[1:15),4690.743247
8,2013.0,[15:50),7310.470654
8,2013.0,[50:65),166.266232
8,2014.0,[0:1),231.1950767
8,2014.0,[1:15),3966.962264
8,2014.0,[15:50),5886.962264
8,2014.0,[50:65),146.5829538
8,2015.0,[0:1),0.0
8,2015.0,[1:15),2864.710439
8,2015.0,[15:50),4894.838177
8,2015.0,[50:65),0.0
9,2008.0,[1:15),0.0
9,2008.0,[15:50),185.9622642
9,2009.0,[1:15),0.0
9,2009.0,[15:50),223.9622642
9,2010.0,[1:15),1123.093489
9,2010.0,[15:50),2365.357109
9,2011.0,[1:15),927.7243274
9,2011.0,[15:50),1943.717672
9,2012.0,[0:1),198.6620991
9,2012.0,[1:15),5679.725836
9,2012.0,[15:50),12402.51883
9,2012.0,[50:65),200.4847559
9,2013.0,[0:1),224.6503542
9,2013.0,[1:15),13374.89198
9,2013.0,[15:50),23714.25037
9,2013.0,[50:65),161.5199821
9,2014.0,[0:1),187.6194611
9,2014.0,[1:15),12459.97627
9,2014.0,[15:50),21718.88802
9,2014.0,[50:65),337.5683744
9,2015.0,[0:1),0.0
9,2015.0,[1:15),7361.463215
9,2015.0,[15:50),17281.8046
9,2015.0,[50:65),132.2932661
10,2010.0,[1:15),297.6755975
10,2010.0,[15:50),1266.225597
10,2011.0,[1:15),737.4401974
10,2011.0,[15:50),1224.476258
10,2012.0,[0:1),0.0
10,2012.0,[1:15),5032.643938
10,2012.0,[15:50),6336.280979
10,2012.0,[50:65),134.908427
10,2013.0,[0:1),0.0
10,2013.0,[1:15),12710.26399
10,2013.0,[15:50),8950.712003
10,2013.0,[50:65),140.6493719
10,2014.0,[0:1),229.3530145
10,2014.0,[1:15),14772.89275
10,2014.0,[15:50),10155.80718
10,2014.0,[50:65),208.8526039
10,2015.0,[0:1),0.0
10,2015.0,[1:15),3845.473383
10,2015.0,[15:50),2879.165192
10,2015.0,[50:65),0.0
